fecha,emoción,evento
02/06/2026,alivio,Terminé un pendiente que llevaba semanas posponiendo
02/06/2026,frustración,El trámite pedía un documento que nadie me había mencionado
03/06/2026,gratitud,Alguien me echó una mano sin que se lo pidiera
03/06/2026,ansiedad,Varias entregas la misma semana y no sé por dónde empezar
04/06/2026,enojo / impaciencia,Se canceló la reunión después de que reorganicé el día entero
04/06/2026,curiosidad,Empecé un libro sobre un tema que no conocía
05/06/2026,vergüenza,Confundí un nombre delante de todo el grupo
05/06/2026,satisfacción,Salió bien una presentación que había ensayado mucho
06/06/2026,incomodidad / saturación,Demasiadas notificaciones y ninguna urgente
06/06/2026,calma,Caminé de regreso sin prisa y sin auriculares
07/06/2026,nostalgia,Encontré fotos de un viaje de hace años
07/06/2026,indiferencia / desánimo,"Un día entero sin que nada me moviera, ni bueno ni malo"
08/06/2026,decepción,"Preparé todo, avisé a todos, y al final el plan no se concretó"
08/06/2026,esperanza,Una conversación pendiente resultó más fácil de lo que temía
