family,ring,position,emotion,definition
sorpresa,1,0,sorpresa,Alteración del ánimo por algo imprevisto. Todavía no es buena ni mala: solo rompe lo que esperabas.
sorpresa,2,0,conmoción,Sacudida fuerte del ánimo ante una noticia o un suceso que te deja sin reacción.
sorpresa,2,1,desorientación,Perder el rumbo: ya no sabes dónde estás parado ni qué sigue.
sorpresa,2,2,deslumbramiento,Quedar cegado por algo tan brillante o admirable que no ves nada más.
sorpresa,2,3,desconcierto,No entender lo que pasa. Las cosas no salieron como las tenías previstas.
sorpresa,2,4,incredulidad,"No poder creer lo que ves o lo que oyes, aunque tengas la prueba delante."
sorpresa,2,5,estupefacción,Pasmo que te deja mudo e inmóvil. Es la sorpresa llevada al extremo.
sorpresa,2,6,expectativa,"Esperar algo que va a pasar, con la atención puesta en ello y el ánimo suspendido."
sorpresa,3,0,intriga,Inquietud curiosa por algo que se te oculta y quieres averiguar.
sorpresa,3,1,asombro,Admiración grande ante algo que excede lo que creías posible.
sorpresa,3,2,fascinación,Atracción irresistible: algo te atrapa la atención y no quieres soltarlo.
sorpresa,3,3,curiosidad,Ganas de saber o averiguar. Es la sorpresa que abre puertas en vez de paralizar.
sorpresa,3,4,admiración,Reconocer con gusto el valor o el mérito de algo o de alguien.
sorpresa,3,5,extrañeza,Sensación de rareza ante algo que no encaja con lo habitual.
sorpresa,3,6,entusiasmo,Exaltación alegre que te impulsa a hacer algo con ganas.
enojo,1,0,enojo,"Movimiento del ánimo contra algo que consideras injusto, molesto o que te estorba."
enojo,2,0,frustración,Malestar por no lograr lo que te habías propuesto o porque algo te lo impide.
enojo,2,1,resentimiento,Enojo guardado por un agravio que no se cerró. Sigue vivo tiempo después.
enojo,2,2,indignación,"Enojo ante algo injusto o indigno, más allá de si te afecta a ti."
enojo,2,3,impaciencia,Falta de paciencia: la espera se te vuelve insoportable.
enojo,2,4,hostilidad,Disposición a atacar o a tratar a alguien como enemigo.
enojo,2,5,impotencia,Rabia de no poder hacer nada para cambiar lo que te afecta.
enojo,2,6,exasperación,Enojo llevado al límite por algo que se repite y no cede.
enojo,3,0,rabia,"Enojo intenso y descontrolado, con ganas de descargarlo."
enojo,3,1,furia,Rabia desatada que arrasa con el juicio.
enojo,3,2,ira,Enojo violento que empuja a la agresión.
enojo,3,3,odio,"Aversión profunda y sostenida hacia alguien, con deseo de su mal."
enojo,3,4,disgusto,Molestia o desagrado por algo que te contraría.
enojo,3,5,irritación,"Enfado ligero pero persistente, como una piedra en el zapato."
enojo,3,6,rencor,Resentimiento arraigado que se guarda y no se perdona.
alegría,1,0,alegría,Sentimiento grato que nace de algo bueno y se nota por fuera.
alegría,2,0,esperanza,Confianza en que lo que deseas todavía puede llegar a ocurrir.
alegría,2,1,optimismo,Ver el lado favorable de las cosas y esperar que salgan bien.
alegría,2,2,conexión,Sentirte unido a alguien y correspondido en ese vínculo.
alegría,2,3,satisfacción,Gusto por haber cumplido algo o porque se colmó lo que querías.
alegría,2,4,vitalidad,Energía y empuje para hacer y para sostener la actividad.
alegría,2,5,inspiración,Impulso creador: de pronto sabes qué hacer y con qué ánimo.
alegría,2,6,ternura,Cariño suave y delicado hacia alguien a quien quieres cuidar.
alegría,3,0,paz,Ausencia de conflicto por dentro y por fuera. Nada te está peleando.
alegría,3,1,calma,Quietud del ánimo: la agitación bajó.
alegría,3,2,gratitud,Reconocimiento y aprecio por un bien recibido.
alegría,3,3,gozo,"Alegría honda y sostenida, no un simple buen rato."
alegría,3,4,alivio,"Descanso que sigue al fin de una molestia, un dolor o una espera."
alegría,3,5,dicha,Felicidad afortunada: la sensación de que la vida te salió bien.
alegría,3,6,serenidad,Calma firme que se sostiene aunque alrededor haya movimiento.
miedo,1,0,miedo,"Angustia ante un peligro real o imaginado, presente o por venir."
miedo,2,0,inquietud,Desasosiego leve: algo te mueve el ánimo y no te deja estar quieto.
miedo,2,1,desesperación,Pérdida total de la esperanza: el miedo sin salida a la vista.
miedo,2,2,desconfianza,Sospecha de que algo o alguien va a fallarte.
miedo,2,3,vulnerabilidad,Sentirte expuesto y sin defensa ante lo que pueda venir.
miedo,2,4,inseguridad,Falta de confianza en ti o en lo que sostiene la situación.
miedo,2,5,aprensión,Recelo anticipado por algo que va a pasar y temes que salga mal.
miedo,2,6,ansiedad,"Agitación por un peligro difuso, muchas veces sin objeto claro."
miedo,3,0,pánico,Miedo súbito y arrollador que anula la capacidad de pensar.
miedo,3,1,recelo,Desconfianza sorda que te mantiene en guardia.
miedo,3,2,parálisis,"Quedarte inmóvil por miedo, sin poder actuar ni decidir."
miedo,3,3,pavor,"Miedo con espanto, que eriza el cuerpo."
miedo,3,4,temor,Miedo moderado y concreto: sabes exactamente qué te preocupa.
miedo,3,5,terror,Miedo extremo que domina el cuerpo entero.
miedo,3,6,angustia,"Aflicción apretada en el pecho, con miedo difuso y pena mezclados."
tristeza,1,0,tristeza,Pesar del ánimo por una pérdida o por algo que duele.
tristeza,2,0,nostalgia,Pena dulce por algo o alguien que quedó atrás y extrañas.
tristeza,2,1,desilusión,Pérdida de la ilusión que habías puesto en algo o en alguien.
tristeza,2,2,desamparo,Sentirte solo y sin protección ni ayuda de nadie.
tristeza,2,3,desesperanza,Convicción de que ya no va a mejorar: la esperanza se apagó.
tristeza,2,4,pesadumbre,Peso del ánimo por algo que te aflige y no se va.
tristeza,2,5,melancolía,"Tristeza vaga y sostenida, sin causa que puedas señalar."
tristeza,2,6,desolación,"Tristeza extrema, con sensación de haberlo perdido todo."
tristeza,3,0,desdicha,Desgracia: la sensación de que la suerte está en tu contra.
tristeza,3,1,decepción,Pesar porque el resultado no correspondió a lo prometido o merecido.
tristeza,3,2,vacío,Ausencia de sentido o de contenido: nada te llena ni te importa.
tristeza,3,3,amargura,Tristeza con resabio de rencor por lo que la vida te quitó.
tristeza,3,4,desánimo,Falta de ánimo para emprender o para continuar.
tristeza,3,5,apatía,"Indiferencia: nada te mueve, ni lo bueno ni lo malo."
tristeza,3,6,soledad,Pena de estar sin compañía o de no sentirte acompañado.
asco,1,0,asco,Repugnancia ante algo que te resulta intolerable y te hace apartarte.
asco,2,0,repugnancia,Aversión física fuerte: el cuerpo entero se niega.
asco,2,1,saturación,Hartazgo por exceso: ya no cabe más de lo mismo.
asco,2,2,incomodidad,Malestar leve: algo no está bien y no te deja acomodarte.
asco,2,3,disconformidad,No estar de acuerdo con cómo son o cómo se hicieron las cosas.
asco,2,4,desagrado,Disgusto suave por algo que sencillamente no te gusta.
asco,2,5,repulsión,Rechazo que te empuja a alejarte de inmediato.
asco,2,6,desprecio,Tener a alguien o algo por indigno de tu estima o de tu atención.
asco,3,0,aversión,Rechazo arraigado que te hace evitar algo por sistema.
asco,3,1,rechazo,Negarte a admitir o a aceptar algo.
asco,3,2,fastidio,Molestia menor pero insistente que te agota la paciencia.
asco,3,3,desdén,Indiferencia despectiva: ni siquiera merece tu atención.
asco,3,4,repudio,Rechazo declarado y público de algo que condenas.
asco,3,5,antipatía,"Aversión instintiva hacia alguien, sin motivo que puedas explicar."
asco,3,6,hastío,Cansancio profundo de algo que se repite hasta el hartazgo.
